,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
6,CHEMBL551232,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCc1ccc(I)cc1,active,431.3579999999999,3.8011000000000026,3.0,3.0,6.301029995663981
14,CHEMBL572912,CCCCCCCCc1ccc(NC(=O)C(C)(N)CO)cc1,inactive,306.45000000000005,3.237800000000001,3.0,3.0,5.0
15,CHEMBL575356,CCCCCCCCc1ccc(NC(=O)[C@@H](N)COC)cc1,inactive,306.45000000000005,3.501800000000001,2.0,3.0,5.0
18,CHEMBL427579,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@@H](C)O)cc1,active,306.45000000000005,3.2362,3.0,3.0,6.187086643357144
23,CHEMBL584561,CCCCCCCCc1ccc(CNC(=O)C(N)CO)cc1,inactive,306.45000000000005,2.5254000000000003,3.0,3.0,5.0
26,CHEMBL583979,CCCCCCCCc1ccc(NC(=O)[C@@H](N)CCO)cc1,active,306.45000000000005,3.237800000000001,3.0,3.0,7.301029995663981
27,CHEMBL575772,CCCCCCCCc1ccc(NC(=O)C(N)CCO)cc1,active,306.45000000000005,3.237800000000001,3.0,3.0,6.7447274948966935
28,CHEMBL574941,CCCCCCCCc1ccc(NC(=O)C(N)CCCO)cc1,inactive,320.4770000000001,3.6279000000000012,3.0,3.0,5.0
31,CHEMBL574237,CCCCCCCCc1ccc(NCC(N)CCO)cc1,inactive,292.467,3.7112000000000016,3.0,3.0,5.0
32,CHEMBL574238,CCCCCCCCc1ccc(NC(=O)[C@H]2NCC[C@@H]2O)cc1,active,318.46100000000007,3.2509000000000006,3.0,3.0,7.2076083105017466
35,CHEMBL572954,CCCCCCCCc1ccc(CNC(=O)[C@H]2NCC[C@@H]2O)cc1,active,332.4880000000001,2.928600000000001,3.0,3.0,6.366531544420414
37,CHEMBL578596,CCCCCCCCc1ccc(NC[C@H]2NCC[C@@H]2O)cc1,active,304.478,3.7243000000000013,3.0,3.0,6.130768280269024
38,CHEMBL1209686,CC[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1,active,426.5610000000004,3.539600000000002,3.0,6.0,8.0
39,CHEMBL1209685,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1,active,412.53400000000033,3.1495000000000015,3.0,6.0,7.698970004336019
40,CHEMBL1209617,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1,active,398.5070000000003,2.759400000000001,3.0,6.0,7.236572006437063
41,CHEMBL1209616,CCCCCCCc1nc(-c2ccc([C@@H](NC(=O)[C@H]3NCC[C@@H]3O)C(C)C)cc2)no1,active,428.57700000000017,3.7856000000000023,3.0,6.0,6.958607314841775
42,CHEMBL1209615,CCCCCCCc1nc(-c2ccc([C@H](CC)NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,414.5500000000002,3.539600000000001,3.0,6.0,7.522878745280337
43,CHEMBL1209614,CCCCCCCc1nc(-c2ccc([C@H](C)NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,400.52300000000014,3.1495000000000006,3.0,6.0,7.318758762624412
